uuid,name,address,phone,email,birth_date,product,total,amount,customer_lat,customer_long,purchase_date,user_agent,is_user,purchase_flag
16,Brian Perez,"02859 Matthew Fort Apt. 687 Phamshire, CT 13351",804-344-3796x03728,dthomas@hotmail.com,2/2/31,Grey Sweater,$19.99 ,3,-15.360751,-80.659143,9/14/04,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1),FALSE,0
17,Lynn Lara,"53097 Chan Trail Richardsonville, DE 03531",001-011-272-1461x057,stacy07@pearson.com,4/13/60,Dark Grey Suit,$55.99 ,5,10.447488,-158.458501,4/20/09,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/41.0.831.0 Safari/534.1",TRUE,0
18,Melissa Williams,"45990 Denise Dale Dunnport, MI 99389",,randy93@mccullough-kelley.com,8/10/10,Black Leggings,$22.50 ,5,-4.5228935,22.030188,5/29/21,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1),TRUE,1
19,Ricky Freeman,"870 Lawrence Gardens Sanchezshire, MT 61211",174.919.5095x18420,spencerperez@hayes.com,8/9/45,Blue Sweater,$55.99 ,4,9.544888,-32.423379,3/30/11,"Mozilla/5.0 (Linux; Android 5.1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/41.0.859.0 Safari/536.0",TRUE,0
20,Robyn Le,"003 Nicholas Vista Erikville, OH 33174",+1-074-054-1201x0731,rioslarry@yahoo.com,9/1/01,Grey Sweater,$22.50 ,5,0.2754335,-93.770862,4/6/00,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10 5_8 rv:2.0; om-ET) AppleWebKit/532.9.1 (KHTML, like Gecko) Version/5.1 Safari/532.9.1",TRUE,0
21,Jesse Bailey,"720 Lori Spurs Suite 016 Tammyside, DC 25613",+1-035-679-2884x317,rsosa@hotmail.com,3/25/88,Blue Sweater,$19.99 ,6,-70.0284215,23.51394,12/15/12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/49.0.877.0 Safari/532.1",FALSE,0
22,Michael Ortiz,"980 Harris Spur Apt. 544 New Carlosmouth, PA 45599",001-429-253-3398x749,jacob77@jones.biz,,Black Leggings,$55.99 ,0,-68.57554,2.028487,9/13/17,Opera/8.95.(X11; Linux x86_64; dv-MV) Presto/2.9.183 Version/11.00,TRUE,1
23,Molly Lewis,"513 Gary Mountains Suite 252 Roseland, FL 63752",-8615,tmoss@hotmail.com,8/17/62,Dark Blue Slacks,$10.99 ,3,-33.7985155,129.37815,2/16/04,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.1),TRUE,1
,,,,,,,,,,,,,,
25,Tiffany Wiggins,"9651 Bates Point Apt. 087 South Donaldport, SD 85215",(103)135-2694x994,qreyes@santos.com,11/26/21,Pink Sweater,$22.50 ,1,-1.134968,-101.663331,6/15/18,Opera/9.60.(X11; Linux x86_64; nl-BE) Presto/2.9.181 Version/11.00,TRUE,1
26,Dwayne Johnson,"980 Ryan Villages Suite 035 Port Amybury, OR 66470",(257)452-6033,elliottsamuel@gmail.com,9/11/08,Pink Sweater,$55.99 ,4,-60.216776,100.038194,4/19/14,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.0),TRUE,0
27,Andres Miller,"242 Padilla Ferry New Justinville, GA 35098",(490)787-0020x44531,marquezlaura@hotmail.com,6/5/16,White Blouse,$55.99 ,6,-70.1544345,-38.409407,1/2/93,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/532.33.5 (KHTML, like Gecko) Version/5.1 Safari/532.33.5",TRUE,1
28,George Taylor,"524 Perez Parks West Jonathan, NC 47926",103.927.0974,rtyler@gmail.com,5/8/09,Dark Grey Suit,$10.99 ,4,19.8958685,-11.489572,1/10/92,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/60.0.896.0 Mobile/88Z600 Safari/532.1",TRUE,0
29,Shawn King,"99500 Romero Valleys Suite 451 Andrewchester, NE 68058",(879)863-6487x05794,choianthony@yahoo.com,10/3/50,Dark Grey Suit,$22.50 ,3,-3.9512385,-123.495604,2/6/15,Mozilla/5.0 (Windows NT 5.1; ky-KG; rv:1.9.1.20) Gecko/2014-10-25 15:07:21 Firefox/4.0,FALSE,0
30,Wayne Hooper,"5505 Garcia Forest Suite 545 Romeroport, IN 08325",991.014.8938x63307,chawkins@gmail.com,4/12/66,Grey Sweater,$55.99 ,2,14.378928,-38.951915,9/30/20,Opera/9.51.(X11; Linux x86_64; ur-PK) Presto/2.9.180 Version/10.00,TRUE,0
31,Brandon Williams,"4019 Gates Rapid Suite 047 New Catherine, AK 38010",001-659-623-2926x165,denise13@hess.com,10/18/78,Pink Sweater,$19.99 ,4,-88.427064,24.500436,2/12/07,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/535.43.2 (KHTML, like Gecko) Version/5.0.2 Safari/535.43.2",FALSE,0
32,Joy Wilkerson,"1244 Kathleen Via Apt. 162 South Christopher, MN 77307",435932717,icampbell@cuevas-davis.org,1/1/52,Dark Blue Slacks,$19.99 ,4,-25.547566,150.039529,6/16/94,Opera/9.30.(Windows NT 5.0; yue-HK) Presto/2.9.184 Version/10.00,FALSE,0
33,Victor Jackson,"25067 Ryan Ford Laurahaven, DE 67698",389-125-1691,eugenepayne@gonzales-reyes.com,9/4/98,Dark Blue Slacks,$55.99 ,0,55.7860495,137.024966,9/4/99,Opera/8.57.(X11; Linux x86_64; as-IN) Presto/2.9.161 Version/12.00,TRUE,0
34,Gary Keller DDS,"6799 Michael Isle Apt. 821 South Colleen, WI 19228",(367)687-4931x860,njackson@rios.org,1/28/70,Pink Sweater,$55.99 ,3,-52.10528,-94.21875,8/30/17,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; csb-PL) AppleWebKit/534.10.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6534.10.7",TRUE,1
35,Robert Miller,"5007 Foster Shoal Estradastad, CO 47950",+1-634-520-3726x062,vjohnson@yahoo.com,10/25/75,Black Leggings,$19.99 ,2,-78.0796245,163.959393,12/13/12,Opera/8.26.(X11; Linux i686; sk-SK) Presto/2.9.161 Version/10.00,FALSE,1
36,Kathy Williams,"09475 Davis Rue Spencerton, MD 53197",(682)284-9241x6152,johnbutler@yahoo.com,6/30/13,White Blouse,$10.99 ,3,61.657269,52.32448,12/5/04,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/13.0.818.0 Safari/533.2",FALSE,0
37,Ethan Robinson,"8861 Brennan Ports Suite 131 Port Francesland, UT 99376",-5617,weaverarthur@austin-bray.info,4/25/27,Grey Sweater,$10.99 ,2,46.8591915,68.531215,9/12/12,Opera/9.26.(X11; Linux x86_64; ro-RO) Presto/2.9.177 Version/12.00,FALSE,0
38,Michael Parker,"89794 Bates Landing Lopezburgh, CA 13821",+1-982-973-2184x776,janetbutler@yahoo.com,2/13/39,Blue Sweater,$55.99 ,6,30.5189835,173.018622,7/7/01,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.1),FALSE,0
39,Patty Bauer,"64236 Amanda Gardens Suite 557 Lake Amy, NM 21313",(977)447-3073,laurie87@turner-norris.com,11/3/00,Pink Sweater,$22.50 ,6,-32.954255,39.514106,1/20/13,Mozilla/5.0 (Windows 95; kok-IN; rv:1.9.2.20) Gecko/2010-10-15 21:57:19 Firefox/3.8,TRUE,1
40,Dustin Payne,"321 Barnett Via Melendezfurt, ID 48491",+1-391-705-5241x67263,phillipsrachel@hotmail.com,11/18/06,Dark Grey Suit,$22.50 ,4,21.025121,-40.049852,10/1/02,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),TRUE,0
41,Victoria Fuller,"2220 Rodriguez Viaduct New Michael, DE 74121",001-113-329-3943x154,reynoldsnatalie@gmail.com,9/4/50,Dark Grey Suit,$10.99 ,1,-74.06406,78.22324,6/16/08,Opera/9.41.(X11; Linux i686; ss-ZA) Presto/2.9.165 Version/11.00,TRUE,0
42,Steven Gay,"87896 Cantu Manors Apt. 220 Davishaven, IN 20368",(627)005-7960x8779,sallen@alvarado-summers.net,6/18/56,White Blouse,$55.99 ,0,-74.372469,177.858718,6/18/09,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; wa-BE) AppleWebKit/535.40.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6535.40.5",TRUE,0
43,Lauren Horton,"2136 Carolyn Mountains Apt. 246 South Marcus, MI 77301",(700)358-7859,agreen@gmail.com,12/29/65,Black Leggings,$55.99 ,6,74.610933,-16.188437,9/24/18,Mozilla/5.0 (Windows 98; gl-ES; rv:1.9.0.20) Gecko/2011-06-01 04:54:18 Firefox/3.8,TRUE,1
44,Ashley King,"1533 Nelson Valleys New Laurieborough, MI 84983",675-574-3965x99702,montgomeryandrew@calhoun-rogers.net,1/17/90,White Blouse,$10.99 ,4,62.5196205,-52.190594,5/10/21,Opera/8.26.(Windows NT 6.1; af-ZA) Presto/2.9.161 Version/10.00,FALSE,1
45,Brian Evans,"71061 Weaver Squares Port Haroldside, AK 37466",+1-883-233-4555x912,wheelermichael@mitchell.org,10/22/54,Grey Sweater,$10.99 ,6,-81.360339,-28.985243,5/1/94,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10 11_5 rv:5.0; it-CH) AppleWebKit/532.22.4 (KHTML, like Gecko) Version/5.0.1 Safari/532.22.4",FALSE,0
46,Jerry Davis,"5743 Bowman Points Brucefort, DC 36286",567.492.9349x77445,nathan27@gmail.com,10/27/08,Dark Grey Suit,$10.99 ,3,71.2416425,130.650542,8/12/11,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/40.0.811.0 Safari/535.0",TRUE,0
47,Billy Sutton,"4823 Butler Mall Suite 338 Martinezmouth, OH 62328",001-204-614-8820x256,ulewis@johnson.com,4/24/49,Grey Sweater,$19.99 ,2,-33.116804,159.997611,4/23/15,Opera/8.28.(Windows NT 5.01; oc-FR) Presto/2.9.188 Version/10.00,TRUE,0
48,Noah Scott,"351 Fleming Rapids Apt. 420 New Alexandra, VA 46924",370-759-2549x4989,xhall@yahoo.com,7/8/06,Dark Blue Slacks,$22.50 ,1,-3.069943,-53.017992,4/21/05,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/532.1.1 (KHTML, like Gecko) Version/5.0 Safari/532.1.1",FALSE,1
49,Jessica Edwards,"844 Valencia Via Erikatown, MN 62420",227.509.4843x465,xmorgan@robinson.com,9/16/82,Black Leggings,$10.99 ,2,62.226017,57.745398,4/28/11,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10 12_7 rv:2.0; yue-HK) AppleWebKit/532.16.2 (KHTML, like Gecko) Version/4.0 Safari/532.16.2",FALSE,1
50,Molly Wilson,"67431 Duffy Mountains New Robert, MI 07479",312-388-6645x040,amy51@yahoo.com,10/31/77,Grey Sweater,$22.50 ,5,-86.0604815,-98.343416,1/24/94,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.0),FALSE,1
51,Brittany Diaz,"005 Gregory Fort New Lucasville, OK 79630",+1-933-568-8195x09591,smckinney@yahoo.com,10/13/50,Grey Sweater,$55.99 ,4,-71.9295455,151.720153,1/29/01,Opera/9.77.(X11; Linux x86_64; sk-SK) Presto/2.9.162 Version/11.00,TRUE,0
52,Matthew Powell,"8332 Murillo Springs Apt. 735 New Ashleyborough, MN 25661",(628)266-2303,brandonnichols@gmail.com,6/2/11,Dark Blue Slacks,$19.99 ,1,28.700798,-12.355432,8/26/11,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10 8_9) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/52.0.862.0 Safari/536.1",FALSE,0
53,John Hooper,"8387 Vasquez Ports New Adamview, AL 09224",001-572-350-2060,john49@gmail.com,11/14/59,Dark Grey Suit,$55.99 ,5,-18.429427,97.317798,7/9/99,Opera/8.49.(Windows NT 6.2; fr-CA) Presto/2.9.177 Version/12.00,TRUE,1
54,Lawrence Kemp,"85911 Garcia Camp West Shelbystad, MN 70755",538-911-6805x3873,adam78@tucker.info,9/12/87,Blue Sweater,$22.50 ,6,-30.4173245,72.533484,10/23/07,Opera/9.59.(Windows NT 10.0; the-NP) Presto/2.9.162 Version/11.00,FALSE,0
55,Kathleen Martinez,"1446 Wendy Spring South Matthew, GA 09189",(971)460-6074x223,ramirezjeffrey@johnson.com,11/5/20,Grey Sweater,$10.99 ,2,-6.6333265,176.844459,2/5/97,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 6_9; rv:1.9.2.20) Gecko/2019-09-22 17:47:50 Firefox/3.6.11,TRUE,0
56,Scott Johnson,"9126 Amber Walk Apt. 114 Lake Bryan, NY 42216",708.497.8770,stacynewman@clements-brown.com,9/25/30,White Blouse,$55.99 ,0,24.1206415,-114.383702,11/30/14,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; hy-AM) AppleWebKit/534.29.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6534.29.7",TRUE,1
57,Evan Herman,"4626 Brenda Forks Williamberg, NC 93809",632-605-6700,nicolerivera@klein.com,10/1/66,Black Leggings,$10.99 ,4,16.1807285,-131.531202,5/17/01,Opera/8.10.(Windows NT 6.2; oc-FR) Presto/2.9.166 Version/12.00,TRUE,1
58,Darin Simon,"228 Lewis Keys Suite 855 West Amanda, NJ 27171",706-659-2592x55103,bennettmichael@yahoo.com,9/9/60,Blue Sweater,$55.99 ,1,-85.1462285,-114.233092,6/9/99,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/34.0.859.0 Safari/532.1",TRUE,1
59,Nathan Mcdonald,"73803 Jorge Overpass South Matthewfort, LA 84761",1761206643,jennifer19@berry.net,9/4/43,Blue Sweater,$55.99 ,1,-50.9822365,13.413474,1/27/92,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/13.0.821.0 Safari/531.2",FALSE,1
60,Cameron Brown,"227 Brad Ferry Apt. 145 Elliottchester, IA 63335",596.613.8772x4135,schwartzjohn@yahoo.com,7/31/62,Dark Blue Slacks,$19.99 ,6,70.1526225,-152.584831,10/12/94,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/4.1),FALSE,0
61,Thomas Hunter,"8443 Moore Junction Livingstonville, MN 87008",961-741-6390x7011,vmorgan@gmail.com,12/9/12,White Blouse,$10.99 ,5,-65.1538205,-142.442635,8/20/15,Mozilla/5.0 (Macintosh; PPC Mac OS X 10 12_7; rv:1.9.3.20) Gecko/2010-01-05 02:39:14 Firefox/3.8,TRUE,1
62,Joshua Mooney,"3206 Duncan Fork Amytown, AK 72314",974.144.4280x538,brandyfitzgerald@yahoo.com,1/17/10,White Blouse,$19.99 ,1,-50.9855955,152.779611,11/3/97,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10 5_9) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/23.0.837.0 Safari/531.1",FALSE,1
63,Rachel Lee,"1525 Rodriguez Centers Apt. 071 Nicolemouth, PA 94560",001-335-539-5764x92040,fperez@goodman-osborn.info,7/16/97,Blue Sweater,$10.99 ,3,80.1995075,91.458119,7/22/01,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.1),TRUE,0
64,William Garcia,"007 Angela Circle Huntshire, CT 14901",001-655-352-1881x3122,lauraherrera@hotmail.com,5/4/11,Black Leggings,$55.99 ,3,72.5456985,-148.703622,7/26/96,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/40.0.832.0 Safari/534.1",TRUE,1
65,Jesse Bradley,"33407 Adam Estates Apt. 151 Lake Jacquelineborough, AR 39636",(710)012-8651x228,lewisashley@yahoo.com,7/11/85,White Blouse,$19.99 ,5,-46.053418,153.676476,6/4/08,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; niu-NU) AppleWebKit/531.45.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6531.45.5",FALSE,1
66,Laura Sanchez,"67623 Cindy Shoals Port Normatown, AR 98974",001-269-412-1281x2100,matthewskristen@barnett.com,11/20/64,Pink Sweater,$10.99 ,5,3.528264,169.648202,3/26/11,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/50.0.891.0 Mobile/40T324 Safari/533.0",TRUE,0
67,Kenneth Estrada,"53318 Nelson Squares South Brandi, NY 01415",(935)348-2103,kyle79@hotmail.com,12/1/18,Blue Sweater,$22.50 ,6,-55.8615385,-172.405881,1/29/96,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/62.0.893.0 Safari/536.0",TRUE,1
68,Jennifer Sanchez,"34463 Kelley Turnpike East Michael, OR 38116",988-694-6529x76686,jenkinselizabeth@smith.com,8/29/05,White Blouse,$19.99 ,3,-25.66804,13.210709,11/5/16,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/3.0),TRUE,0
69,Margaret Carter,"182 Connor Corner North Brittany, DE 49865",209.651.5627x6473,ballardwilliam@hotmail.com,1/4/86,Black Leggings,$22.50 ,3,86.6747425,11.355096,6/3/15,Mozilla/5.0 (Macintosh; Intel Mac OS X 10 6_7; rv:1.9.2.20) Gecko/2012-03-19 23:10:42 Firefox/3.6.15,TRUE,1
70,Sara Mann,"913 Mark Rapids Suite 399 Alimouth, MO 72671",001-774-185-5441x64029,michael69@gmail.com,10/22/86,Dark Blue Slacks,$19.99 ,4,-89.4634035,38.508899,8/27/17,Mozilla/5.0 (Windows NT 5.0; ky-KG; rv:1.9.2.20) Gecko/2019-01-05 01:46:20 Firefox/7.0,TRUE,0
71,Alicia Barr,"031 Kelsey Spur Hawkinsmouth, SC 38635",001-659-048-3871x6783,andrew04@gmail.com,4/5/78,Blue Sweater,$22.50 ,4,40.232129,161.985561,10/5/95,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; eo-US) AppleWebKit/534.11.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6534.11.1",FALSE,0
72,Michele Bernard,"24018 Tina Hollow East Josephtown, TX 72178",(107)414-1822,dawnruiz@hotmail.com,3/17/04,Black Leggings,$19.99 ,4,48.277691,151.137482,12/13/10,Opera/9.16.(X11; Linux x86_64; ru-UA) Presto/2.9.177 Version/10.00,TRUE,1
73,Daniel Meadows,"47911 Erica Hollow Hallfurt, VT 45563",001-842-635-7716x68065,mary90@evans.com,12/29/63,Black Leggings,$55.99 ,5,-61.1313555,38.098154,8/6/10,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/3.1),FALSE,1
74,Brian Hall,"23890 Ortiz Meadows Apt. 169 Maryfort, DE 21661",(278)234-8073x920,lewisshannon@hotmail.com,4/19/47,Grey Sweater,$19.99 ,0,-52.1753245,-8.797726,4/12/98,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.1),FALSE,1
75,Mr. Curtis Bright,"54431 Collins Turnpike Blackburntown, SD 00985",(692)311-6357x7161,danielmartin@gmail.com,2/7/25,Blue Sweater,$55.99 ,2,-44.195046,-100.119876,11/25/16,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.36.7 (KHTML, like Gecko) Version/5.1 Safari/532.36.7",TRUE,1
76,Cody Murphy,"0583 Oliver Estates Apt. 831 Rileymouth, OK 02664",025-003-2294x212,avasquez@gmail.com,7/11/04,Blue Sweater,$19.99 ,0,66.383431,41.225651,11/18/03,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.0),TRUE,0
77,Sharon Melendez,"13431 Lindsay Coves Robertshire, MN 31076",962.483.1812,ysteele@hotmail.com,11/10/89,Dark Grey Suit,$10.99 ,2,-32.9242025,-32.033844,7/7/93,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/40.0.848.0 Safari/533.0",FALSE,0
78,Jamie Logan,"0995 Seth Turnpike Lake Karenfort, NY 90131",001-867-455-7054x3959,lpoole@yahoo.com,8/6/51,Blue Sweater,$10.99 ,3,-46.1227535,-11.661462,1/8/15,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2014-10-29 18:46:33 Firefox/3.6.13,FALSE,1
79,Heidi Snyder,"386 Cardenas Burgs Myersmouth, AR 80901",057-443-4920x855,michael42@whitney-adams.com,11/23/20,White Blouse,$19.99 ,1,-14.3155455,-15.80057,3/4/06,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2015-06-29 02:51:26 Firefox/13.0,TRUE,1
80,Gregory Jones,"45618 Jordan Orchard Adamside, NH 96329",+1-515-612-8799x5810,patriciamiller@bridges-cobb.com,4/5/64,Pink Sweater,$19.99 ,3,28.473637,-28.917099,7/9/01,Mozilla/5.0 (Windows CE; ja-JP; rv:1.9.0.20) Gecko/2016-02-14 02:31:24 Firefox/14.0,FALSE,0
81,Christian Jackson,"8742 Robert Burg Apt. 224 East Joshuatown, NV 35093",367-697-9476x666,annefisher@yahoo.com,7/11/80,White Blouse,$10.99 ,1,23.4752295,6.173082,4/21/11,Mozilla/5.0 (Macintosh; Intel Mac OS X 10 12_2; rv:1.9.3.20) Gecko/2014-01-26 14:49:33 Firefox/12.0,FALSE,0
82,Jason Smith,"44828 Christopher Trail Vanessaport, SC 00947",+1-607-629-6555x83006,pperez@smith.info,2/6/34,White Blouse,$55.99 ,6,29.651333,27.066612,7/24/01,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.0),TRUE,1
