name,address,phone,email,birth_date,product,total,amount,customerLat,customerLong,product_desc,purchase_date,user_agent,is_user,tag
Caitlin Moore,"156 Bartlett Junctions Apt. 944
Lake Dale, HI 98539",2988565204,paynejacob@gmail.com,3/6/10,Blue Sweater,$10.99 ,0,-87.5496635,172.980476,"Plan bad voice determine.
Fall evidence can thing score arm much not. It wind professor series author base.",3/11/14,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1),TRUE,1
Clarence Williams,"2722 Carl Drive Suite 097
Garciachester, WA 60766",(970)654-1609x544,jacobwilliams@phillips.biz,2/15/88,Black Leggings,$55.99 ,4,46.7247705,72.834523,Radio get several onto. Today have once less modern drug land. Effect land mother six prevent although reason. Simply note who ball carry.,9/18/98,Mozilla/5.0 (Android 7.0; Mobile; rv:29.0) Gecko/29.0 Firefox/29.0,TRUE,1
Mark Mendoza,"99810 Joshua Rapids Suite 982
Lake Michaelmouth, ND 25874",974-203-3943x55831,kathryn33@price.com,11/23/83,Grey Sweater,$55.99 ,3,-54.789898,10.392536,"Put help deal house baby.
News leader law. Agency successful but again establish health back near.
First field institution world. Place produce expect accept teach. Magazine recent he argue never.",4/22/12,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.0),TRUE,0
James Mason,"088 Michelle Village
Franklinstad, AR 50442",(414)993-1244x0146,alexandrawelch@hotmail.com,5/5/63,Grey Sweater,$55.99 ,6,80.345479,72.239265,"Result approach only west should themselves hope. Tend nation prevent dog focus shoulder. Guess into know I student production check fact.
Action event medical prevent.",2/17/17,Opera/8.58.(X11; Linux i686; mk-MK) Presto/2.9.187 Version/11.00,TRUE,1
Sharon Hodge,"38636 Maureen Parks Suite 289
Parsonsborough, IA 44570",388.334.9824x21251,wsexton@williams.info,2/23/77,Pink Sweater,$22.50 ,5,-52.0469375,16.875743,"Range that matter most note.
High election arrive once message next partner. Owner fill without cold draw. Attorney side health.
Back weight number institution fish collection feel. Issue over test.",4/7/01,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/57.0.871.0 Mobile/83Y102 Safari/536.0",FALSE,1
Shelia Singleton,"823 Le Island Suite 670
New Cory, WI 73020",653-769-2610,thompsonalexa@hotmail.com,8/19/77,Pink Sweater,$55.99 ,5,66.3239575,101.832824,"Own very dream process item pull bag break. Free our game firm option.
Thousand blue bad smile. All somebody when. Catch be wait against wife any far.",6/11/19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10 12_7 rv:6.0; nds-DE) AppleWebKit/531.14.7 (KHTML, like Gecko) Version/5.0 Safari/531.14.7",FALSE,1
David Silva,"21601 Jones Fields
Cooperhaven, MI 39701",38757990,pmcmillan@martin.org,12/11/45,Dark Blue Slacks,$22.50 ,3,-66.2776685,-62.745856,Everybody same sure international rule adult. Season exist test language look city discover. Management resource pattern certain.,6/27/95,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/5.0),FALSE,1
Walter Green,"57129 Ballard Lakes Apt. 972
New Stevenmouth, DC 03131",677.433.3081x33497,jason75@giles-campos.info,3/23/98,White Blouse,$22.50 ,5,-31.8542995,-120.682544,,12/22/98,Opera/8.74.(X11; Linux i686; lg-UG) Presto/2.9.190 Version/12.00,TRUE,0
Phillip Thompson,"500 Grant Field
Jameshaven, CO 15178",+1-877-816-7442x134,blackburnbrandi@phillips-morrow.net,2/4/74,Grey Sweater,$22.50 ,5,-89.704263,-38.308859,"Their decade own I administration into.
Current degree in full officer who bank.
Radio activity best necessary themselves medical. Model score cup see eat commercial western. Material likely next.",3/8/01,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/4.1),TRUE,0
Alison Robertson,"417 Maria Fords Apt. 899
East Valerieport, VA 72583",+1-913-428-4401x3194,william30@hotmail.com,1/28/06,Dark Grey Suit,$19.99 ,4,-79.8080475,11.783787,"She senior song past cold institution seem.
However same including system store. Hit live head until. Leader article or act hot.",1/31/03,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.1),FALSE,1
Laura Wyatt,"572 Greg Villages
East Brianbury, CA 92222",3193328151,jacquelinebrown@armstrong.biz,10/23/02,White Blouse,$10.99 ,2,-83.9625215,-37.286872,"Almost thousand want agency own center. Nearly response social wait the occur body.
Popular should compare.",7/18/94,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.0),FALSE,0
Jasmine Henry,"659 Olson Row Suite 694
New Lindsaymouth, WI 62801",+1-031-491-1663x85355,john77@yahoo.com,9/1/57,Blue Sweater,$19.99 ,2,67.3535955,-81.809923,Fall show must cup reason song. Cause put entire over million. Yet bag building represent campaign skin.,5/23/08,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/4.0),FALSE,0
Adam Clayton,"609 Marks Street Suite 165
Lake Marcport, AK 55376",001-178-896-6400x03607,charlesvasquez@golden.com,9/19/60,White Blouse,$55.99 ,1,-86.6493135,114.819273,"Practice accept stuff her nor consumer pay quickly.
Republican tell blood piece wind civil.
This term week region series. Effort fly partner cold often order. Staff already bad learn car night nor.",7/1/94,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/41.0.809.0 Mobile/11H081 Safari/535.2",FALSE,0
Tony Garcia,"85254 Travis Pass
Reynoldsstad, KS 57059",971.355.5014x72188,richardray@norris.com,6/22/57,White Blouse,$55.99 ,5,5.881342,-80.661237,"Firm growth really language but ask upon.
Deal can front cut positive statement. Reason eat step me call. Create number indicate voice kitchen week.",3/16/00,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/533.43.5 (KHTML, like Gecko) Version/5.1 Safari/533.43.5",FALSE,0
Evelyn Kidd,"53126 Nicholas Junction
West Matthew, ND 88900",752.614.1418x135,nathaniel89@hotmail.com,3/7/12,Black Leggings,$55.99 ,1,81.4686645,103.481239,Process remain else term grow perhaps likely. Whatever nice red foreign fire moment. Like mother decide bag media beautiful evening.,4/27/17,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/4.1),TRUE,1
Nicholas Waller,"98083 Jenna Divide
Stevenberg, WY 33155",(970)424-1114,hunter17@yahoo.com,10/5/47,Pink Sweater,$22.50 ,1,85.819722,-90.002334,Movie rich shoulder theory. Event save seven night land focus dark economic.,2/18/94,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/531.44.4 (KHTML, like Gecko) Version/4.0 Safari/531.44.4",FALSE,1
Mark Williams,"61366 Jenna Estate
West Sharon, OK 59711",4883592495,elizabethalexander@hotmail.com,7/26/10,Dark Blue Slacks,$19.99 ,3,-48.8101105,6.733644,Bag security suddenly call both subject imagine event. Still than up.,10/5/18,"Mozilla/5.0 (Linux; Android 6.0.1) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/43.0.855.0 Safari/533.2",TRUE,0
Charles White,"04371 Welch Mill Suite 659
Glennhaven, WV 57587",714.342.7456x7687,haynespamela@phillips.biz,8/20/11,Pink Sweater,$22.50 ,1,46.1731805,42.674902,"Line believe Democrat history forget they. Order blood by let citizen.
Air I purpose adult customer very discussion. Later expert drug fall account should. Artist young away term phone.",3/11/11,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; shs-CA) AppleWebKit/534.15.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6534.15.6",TRUE,1
Felicia Rodriguez,"948 Matthew Lake Apt. 557
Daniellehaven, ME 73520",001-425-080-2710x62674,ple@dunn.com,4/13/26,Grey Sweater,$10.99 ,0,-78.2069695,110.435197,Consider worker song sound someone. Likely of fact at. Learn nor action chance seat describe charge fire.,6/20/91,"Mozilla/5.0 (Linux; Android 5.1.1) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/38.0.854.0 Safari/533.1",TRUE,0
Molly Bennett DDS,"5282 Hannah Trail
Youngville, VA 46969",+1-850-796-6029x78263,austinlaurie@yahoo.com,7/25/07,White Blouse,$10.99 ,1,68.445034,-52.407147,"Back final could store interesting. Gas paper pressure body. Sort its imagine environmental today commercial.
Ago huge type official. Real light blood various. State meeting soldier result bad road.",8/9/07,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/18.0v0269.0 Mobile/38I892 Safari/533.0",FALSE,0
Richard Graham,"973 Murphy Meadows
Victoriastad, VT 18810",001-362-233-9978,martindavid@yahoo.com,7/1/51,Pink Sweater,$22.50 ,0,31.138419,-117.032524,"Grow compare half charge authority. Half usually trial do color want human.
Street true hour defense happen unit research media. Anyone allow I particular turn right.",3/26/16,"Mozilla/5.0 (Windows 98) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/44.0.867.0 Safari/536.1",TRUE,1
Lori Montes,"Unit 0476 Box 9983
DPO AE 14381",7265022380,parkerfred@yahoo.com,2/18/04,Dark Blue Slacks,$10.99 ,4,-59.806998,-30.478448,Although fund hospital add once boy fine. Consider rich possible investment have generation whole. Nature former himself along perhaps standard. Modern edge decade summer.,3/8/96,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/533.40.1 (KHTML, like Gecko) Version/4.0 Safari/533.40.1",FALSE,0
Danielle Ruiz DVM,"Unit 7843 Box 7256
DPO AA 25713",434.147.0806x248,richardsonpaul@gregory.info,2/6/04,Blue Sweater,$22.50 ,5,44.020076,-8.266876,"Could teacher skin level too nor. Particularly probably blue age whether heart.
Movie item ahead friend. Include consumer leg science data smile all. Food put work town community.",4/24/14,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/535.13.4 (KHTML, like Gecko) Version/4.1 Safari/535.13.4",FALSE,0
Jack Jackson,"108 Brianna Unions Suite 465
Carltown, FL 17571",589.863.4860,bjones@wolf.info,8/24/27,Pink Sweater,$19.99 ,6,35.1495585,109.162859,"Write specific thing quite hope side high. Language customer tend prove.
Friend also help serve several thus.",12/25/06,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/11.9z6794.0 Mobile/08A058 Safari/532.1",FALSE,1
Cynthia Mack,"550 Mary Corner
West Melissaberg, NY 15617",-10069,psoto@olson.com,1/5/19,White Blouse,$19.99 ,4,-34.784686,-59.970654,Gun their hard participant. Need participant wind call certain both. Color carry once event.,10/14/09,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.0),FALSE,1
Thomas Ware,"17006 Rachel Throughway
Shawnberg, IA 30495",+1-863-811-3693x6652,morganalexis@flynn-lopez.info,4/30/43,Dark Blue Slacks,$19.99 ,1,-16.854276,-83.844475,"Partner structure how current best design player realize.
Agreement process among with movement point. Over several treatment buy over. Scientist history movie arm make because agree somebody.",12/6/18,"Mozilla/5.0 (Linux; Android 1.6) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/22.0.882.0 Safari/536.1",FALSE,0
Michael Martin,"USNS Vang
FPO AA 89328",241-403-6166,katherineford@maxwell.info,2/14/38,White Blouse,$22.50 ,2,46.8113605,85.113537,"Agent source represent base effect.
Share education attack lead factor. Fly science other political. Social also remain assume maybe degree car. Since building dinner.",5/20/08,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/17.0n3269.0 Mobile/77G550 Safari/532.0",FALSE,0
Bryan Evans,"436 Steven Mission
New Christinehaven, NH 51646",1843257805,stephanie50@hotmail.com,3/25/36,Blue Sweater,$22.50 ,4,-81.703454,44.63333,Lot others seek bank between particularly myself federal. Knowledge kitchen trip chair computer. Language both maybe organization before type.,1/30/98,Mozilla/5.0 (Macintosh; PPC Mac OS X 10 10_0; rv:1.9.6.20) Gecko/2011-05-08 01:15:28 Firefox/12.0,TRUE,0
Kayla Chandler,"495 Aaron Parkway Apt. 294
East Kevin, NY 95378",+1-516-177-7377x09547,hernandezmichele@nolan-vaughan.com,3/18/54,Black Leggings,$55.99 ,5,-67.158598,-54.404495,"Religious agreement fund real can few over.
That most any support rest foot card. City company or chance term wear know life. Smile room unit cell Republican simply soon production.",5/26/11,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 11_0; rv:1.9.5.20) Gecko/2017-02-13 21:41:00 Firefox/3.6.13,TRUE,0
Vincent Curtis,"132 Amy Mount Suite 914
Michaelmouth, KY 57892",001-347-300-7631x336,wrodriguez@johnson.biz,2/23/00,Pink Sweater,$10.99 ,1,39.7189695,-6.152373,Hospital five fast phone. Partner to rock leader every service hair. Memory mission song truth.,12/17/20,"Mozilla/5.0 (Linux; Android 2.2.1) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/37.0.895.0 Safari/533.2",FALSE,0
Clayton Lyons,"97812 Jasmine Fort
North Madelinechester, VT 73254",807-075-6166x74229,vgonzalez@zuniga.com,2/28/24,Dark Grey Suit,$10.99 ,3,-51.2357565,-130.691909,Conference cost question door attention. More special various thing lead site. Door draw leader experience thought life.,7/4/18,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 6_9) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/49.0.866.0 Safari/533.0",TRUE,1
Amanda Martin,"388 Palmer Parkways Apt. 444
New Brian, MS 24913",5932557085,cheryl45@elliott.com,11/13/26,White Blouse,$55.99 ,4,-53.8063905,-116.168685,"Note score role around. Use stock me throughout new.
Marriage stuff push small black.",3/12/04,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2015-05-29 01:56:13 Firefox/9.0,FALSE,0
April Boyd,"06524 Kevin Parkway Apt. 828
Cortezberg, PA 32080",238-105-3161,christopherreed@hotmail.com,12/5/66,Black Leggings,$10.99 ,1,-9.416196,114.28455,"Move call but short speech employee conference.
Would foot market rise report. Many much woman respond either also establish.",12/10/08,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2014-08-18 12:04:35 Firefox/8.0,TRUE,0
Christina Martin,"1602 Johnson Villages
North Krystalfort, NM 69680",-9174,shawlisa@gmail.com,2/27/38,Black Leggings,$55.99 ,3,-21.6437625,-119.539434,"Rule away choice else on must about. Build company today myself.
More miss decade fear behavior range should.",1/2/99,"Mozilla/5.0 (Linux; Android 2.3.5) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/19.0.891.0 Safari/534.1",FALSE,0
Carlos Gonzales,"559 Jennifer Track Apt. 949
Thomasbury, IN 74707",+1-065-882-6173x2077,james39@winters.com,2/26/86,Pink Sweater,$22.50 ,1,52.604481,-22.168536,Source whose off around tend. Out manager network. Forget bring just clear because source.,4/17/02,Opera/8.31.(Windows NT 10.0; ta-LK) Presto/2.9.189 Version/12.00,FALSE,0
Martin Russell,"574 Mark Village
West Davidshire, AR 66811",399-238-1573,kendramiller@hotmail.com,9/18/26,Black Leggings,$22.50 ,3,75.8650755,-124.552998,"Compare year sometimes provide tonight. Accept maintain outside view here simple glass source.
Memory course drive pick.",4/26/99,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/3.1),FALSE,1
Chad Reed,"8379 Owens Walks Apt. 402
Kingport, KY 49493",(972)613-8688x17830,charles34@hotmail.com,12/11/00,Pink Sweater,$22.50 ,2,89.99499,51.610689,"Improve wear quality fire trouble. Interest discuss up not Democrat choose. Fear line social admit increase recently.
Medical class account. Cover your think within.
Culture member total.",9/10/12,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0),FALSE,0
Timothy Young,"3057 Donald River Apt. 996
East Stephen, NV 86786",3213715891,williamsbradley@yahoo.com,12/1/61,Dark Blue Slacks,$10.99 ,5,36.9106635,-32.131952,"Store value voice well former instead. Husband wind trial style simply design.
Accept state surface stop. Three such system energy morning still its.",12/16/12,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/24.0.812.0 Mobile/68R967 Safari/533.0",TRUE,1
Vincent Martin,"80037 Gregory Rapid
Dawnchester, MS 21669",(525)296-5505x03373,garciakristen@davis.com,12/19/96,Pink Sweater,$55.99 ,5,56.896805,-55.746184,Country including guess turn often student. Save color economic good business room you worker. Performance unit soldier degree number drop hundred.,7/10/13,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; byn-ER) AppleWebKit/535.34.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6535.34.3",FALSE,0
Ronald Smith,"1940 Maria Skyway Apt. 405
Hudsonhaven, SD 23829",(134)330-3162x059,hendrixanthony@gmail.com,6/27/90,Grey Sweater,$22.50 ,4,88.8257695,67.301729,Across us movie maintain work. Wear decision degree we condition structure take should.,2/8/20,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10 12_7 rv:6.0; he-IL) AppleWebKit/533.16.2 (KHTML, like Gecko) Version/5.0.1 Safari/533.16.2",FALSE,0
Sheila Smith,"65156 Williams Greens Apt. 030
New Christine, CT 12296",986-825-6267x0254,christinarice@rodriguez-payne.biz,2/11/13,Blue Sweater,$10.99 ,5,-87.1746795,23.145031,"Explain standard respond job. Contain hour effect include. These international audience have office.
Including usually poor national above country.",9/8/09,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/5.0),TRUE,0
Mark Ford,"04852 Robin Ford
New Rebecca, WY 34606",(526)570-7100x1384,holdermatthew@hotmail.com,1/2/82,Grey Sweater,$22.50 ,3,16.7952985,-166.533056,"Wonder difference could already. Make claim she other new find.
Each focus think apply have laugh.
Save lot mother. Key truth serious people kid.",7/26/12,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10 12_6) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/30.0.820.0 Safari/535.2",TRUE,0
Brittany Russell,"271 Miller Circle Suite 547
Cherylmouth, IL 80131",378.237.6668,patriciaallen@vega-powell.com,8/25/61,White Blouse,$22.50 ,0,-87.0294345,126.334713,Modern personal small force I week standard. Use sister behind already create series often. Must theory type result rest organization return.,8/2/95,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 7_9; rv:1.9.6.20) Gecko/2021-02-09 08:06:18 Firefox/4.0,TRUE,0
Jason Floyd,"765 Taylor Summit
West Jerome, MT 93163",001-532-611-0750x0746,ramirezamber@gmail.com,3/12/41,Grey Sweater,$55.99 ,0,80.5709355,88.998326,"Similar hand sing so. Military result customer brother.
Final standard maintain major radio. Health drug beat across he nearly. Evening sing section use decision her.",7/2/09,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.50.7 (KHTML, like Gecko) Version/5.0.1 Safari/534.50.7",TRUE,0
Trevor Walker,"82502 Warner Gardens
Suarezmouth, WI 59613",001-828-289-1693x7680,cgutierrez@hotmail.com,11/25/06,Black Leggings,$10.99 ,0,17.9665645,82.48338,"Suggest such above condition better follow. He field accept more table. While hair major relationship.
Second soldier next official paper. Half ago agreement despite several weight ok.",10/10/20,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/27.0.870.0 Safari/533.2",FALSE,0
Haley Henderson,"68982 Allison Mission
New Elizabeth, DE 98065",712-387-1020x228,ebony78@walter.org,7/21/37,Blue Sweater,$22.50 ,4,28.0302375,115.952678,"Family international media ask his senior. Green foot director doctor really among. Civil article weight walk program ok.
Why country visit anyone meet you.",4/21/08,Opera/9.72.(X11; Linux i686; as-IN) Presto/2.9.180 Version/10.00,TRUE,1
